epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.27	15.2	1.99	25.8
1	0:0	0.1	1.87	28.9	1.83	31.7
2	0:0	0.1	1.64	38.7	1.55	43.2
3	0:0	0.1	1.47	45.6	1.38	49.9
4	0:0	0.1	1.28	53.6	1.23	56.6
5	0:0	0.1	1.1	60.9	1.06	63.3
6	0:0	0.1	0.911	67.9	0.902	68.6
7	0:0	0.1	0.776	73.0	0.828	71.7
8	0:0	0.1	0.693	75.9	0.824	72.9
9	0:0	0.1	0.639	78.1	0.788	74.5
10	0:0	0.1	0.581	79.8	0.69	76.5
11	0:0	0.1	0.553	81.0	0.636	78.8
12	0:0	0.1	0.519	82.2	0.596	80.5
13	0:0	0.1	0.488	83.1	0.567	81.0
14	0:0	0.1	0.467	83.8	0.515	82.9
15	0:0	0.1	0.45	84.5	0.559	81.7
16	0:0	0.1	0.421	85.3	0.693	79.3
17	0:0	0.1	0.41	85.9	0.546	82.1
18	0:0	0.1	0.396	86.3	0.534	82.7
19	0:0	0.1	0.385	86.8	0.525	83.3
20	0:0	0.1	0.372	87.2	0.511	83.3
21	0:0	0.1	0.359	87.4	0.491	83.7
22	0:0	0.1	0.355	87.6	0.44	85.4
23	0:0	0.1	0.339	88.2	0.459	85.4
24	0:0	0.1	0.336	88.5	0.493	84.3
25	0:0	0.1	0.32	88.9	0.438	85.6
26	0:0	0.1	0.313	89.2	0.481	84.1
27	0:0	0.1	0.306	89.2	0.547	83.0
28	0:0	0.1	0.298	89.5	0.478	84.4
29	0:0	0.1	0.291	90.1	0.605	81.8
30	0:0	0.1	0.288	90.0	0.568	82.2
31	0:0	0.1	0.288	90.1	0.474	85.1
32	0:0	0.1	0.283	90.2	0.392	87.1
33	0:0	0.1	0.277	90.4	0.428	86.3
34	0:0	0.1	0.276	90.6	0.582	83.2
35	0:0	0.1	0.263	90.9	0.494	84.8
36	0:0	0.1	0.258	91.1	0.537	83.5
37	0:0	0.1	0.257	91.0	0.446	85.7
38	0:0	0.1	0.255	91.2	0.517	84.8
39	0:0	0.1	0.246	91.3	0.463	85.7
40	0:0	0.1	0.247	91.4	0.588	83.4
41	0:0	0.1	0.246	91.4	0.445	85.8
42	0:0	0.1	0.24	91.6	0.377	87.6
43	0:0	0.1	0.239	91.6	0.455	85.9
44	0:0	0.1	0.233	91.8	0.589	82.8
45	0:0	0.1	0.232	91.8	0.478	84.8
46	0:0	0.1	0.229	92.1	0.485	85.5
47	0:0	0.1	0.228	92.0	0.434	86.8
48	0:0	0.1	0.225	92.1	0.389	88.2
49	0:0	0.1	0.223	92.3	0.391	87.8
50	0:0	0.1	0.215	92.4	0.467	86.1
51	0:0	0.1	0.216	92.3	0.45	86.2
52	0:0	0.1	0.213	92.5	0.471	85.8
53	0:0	0.1	0.21	92.6	0.353	88.7
54	0:0	0.1	0.21	92.9	0.443	86.4
55	0:0	0.1	0.207	92.8	0.425	87.5
56	0:0	0.1	0.209	92.5	0.428	87.2
57	0:0	0.1	0.199	93.0	0.436	86.8
58	0:0	0.1	0.199	93.1	0.502	85.4
59	0:0	0.1	0.201	93.0	0.436	87.3
60	0:0	0.1	0.203	92.9	0.542	84.8
61	0:0	0.1	0.196	93.0	0.407	87.8
62	0:0	0.1	0.196	93.1	0.494	85.6
63	0:0	0.1	0.186	93.5	0.423	87.9
64	0:0	0.1	0.2	93.2	0.522	85.0
65	0:0	0.1	0.186	93.5	0.414	87.9
66	0:0	0.1	0.186	93.5	0.438	87.6
67	0:0	0.1	0.188	93.5	0.395	88.2
68	0:0	0.1	0.183	93.7	0.444	86.7
69	0:0	0.1	0.183	93.5	0.54	85.1
70	0:0	0.1	0.182	93.6	0.508	85.4
71	0:0	0.1	0.184	93.6	0.499	85.7
72	0:0	0.1	0.192	93.3	0.494	86.0
73	0:0	0.1	0.176	93.9	0.34	89.2
74	0:0	0.1	0.181	93.7	0.44	87.5
75	0:0	0.1	0.179	93.8	0.473	87.2
76	0:0	0.1	0.18	93.6	0.361	88.8
77	0:0	0.1	0.173	93.9	0.355	88.8
78	0:0	0.1	0.172	94.1	0.342	89.7
79	0:0	0.1	0.168	94.1	0.435	87.1
80	0:0	0.1	0.177	93.9	0.429	87.5
81	0:0	0.1	0.171	94.0	0.374	89.0
82	0:0	0.1	0.175	93.9	0.375	88.4
83	0:0	0.1	0.171	94.1	0.546	85.3
84	0:0	0.1	0.171	94.0	0.374	88.7
85	0:0	0.1	0.166	94.3	0.367	89.1
86	0:0	0.1	0.165	94.2	0.434	87.2
87	0:0	0.1	0.165	94.2	0.511	85.5
88	0:0	0.1	0.168	94.2	0.387	88.4
89	0:0	0.1	0.165	94.3	0.347	89.4
90	0:0	0.1	0.165	94.3	0.47	86.8
91	0:0	0.1	0.159	94.4	0.407	87.7
92	0:0	0.1	0.164	94.3	0.39	88.7
93	0:0	0.1	0.165	94.3	0.478	86.5
94	0:0	0.1	0.159	94.4	0.432	87.3
95	0:0	0.1	0.163	94.3	0.492	86.3
96	0:0	0.1	0.16	94.5	0.404	88.2
97	0:0	0.1	0.16	94.5	0.375	89.1
98	0:0	0.1	0.156	94.6	0.368	89.2
99	0:0	0.001	0.0787	97.4	0.234	92.8
100	0:0	0.01	0.0495	98.5	0.231	93.2
101	0:0	0.01	0.0404	98.8	0.231	93.2
102	0:0	0.01	0.0341	99.0	0.236	93.2
103	0:0	0.01	0.0304	99.1	0.24	93.2
104	0:0	0.01	0.0258	99.3	0.241	93.6
105	0:0	0.01	0.0231	99.4	0.247	93.2
106	0:0	0.01	0.0214	99.4	0.246	93.5
107	0:0	0.01	0.0199	99.5	0.252	93.5
108	0:0	0.01	0.0183	99.5	0.253	93.5
109	0:0	0.01	0.0172	99.5	0.257	93.5
110	0:0	0.01	0.0167	99.6	0.261	93.5
111	0:0	0.01	0.0139	99.6	0.258	93.5
112	0:0	0.01	0.0133	99.7	0.267	93.3
113	0:0	0.01	0.0124	99.7	0.267	93.7
114	0:0	0.01	0.012	99.7	0.273	93.5
115	0:0	0.01	0.0123	99.7	0.268	93.4
116	0:0	0.01	0.0107	99.7	0.278	93.6
117	0:0	0.01	0.0103	99.8	0.27	93.5
118	0:0	0.01	0.00909	99.8	0.272	93.5
119	0:0	0.01	0.00913	99.8	0.269	93.7
120	0:0	0.01	0.0085	99.8	0.277	93.3
121	0:0	0.01	0.00834	99.8	0.273	93.6
122	0:0	0.01	0.00849	99.8	0.276	93.5
123	0:0	0.01	0.00731	99.8	0.285	93.5
124	0:0	0.01	0.00718	99.8	0.282	93.5
125	0:0	0.01	0.00731	99.8	0.282	93.5
126	0:0	0.01	0.00765	99.8	0.283	93.4
127	0:0	0.01	0.00639	99.9	0.286	93.6
128	0:0	0.01	0.00633	99.9	0.29	93.5
129	0:0	0.01	0.00687	99.8	0.287	93.5
130	0:0	0.01	0.00546	99.9	0.28	93.7
131	0:0	0.01	0.00518	99.9	0.291	93.5
132	0:0	0.01	0.00552	99.9	0.287	93.6
133	0:0	0.01	0.00541	99.9	0.284	93.6
134	0:0	0.01	0.00526	99.9	0.285	93.5
135	0:0	0.01	0.00543	99.9	0.291	93.6
136	0:0	0.01	0.00501	99.9	0.289	93.4
137	0:0	0.01	0.00502	99.9	0.292	93.6
138	0:0	0.01	0.00443	99.9	0.29	93.6
139	0:0	0.01	0.00424	99.9	0.293	93.5
140	0:0	0.01	0.00453	99.9	0.292	93.7
141	0:0	0.01	0.00461	99.9	0.295	93.5
142	0:0	0.01	0.00407	99.9	0.295	93.5
143	0:0	0.01	0.00421	99.9	0.292	93.5
144	0:0	0.01	0.0042	99.9	0.293	93.5
145	0:0	0.01	0.00381	99.9	0.295	93.5
146	0:0	0.01	0.00369	99.9	0.294	93.5
147	0:0	0.01	0.00374	99.9	0.294	93.6
148	0:0	0.01	0.00374	99.9	0.293	93.6
149	0:0	0.0001	0.00349	1e+02	0.293	93.6
150	0:0	0.001	0.00318	1e+02	0.289	93.6
151	0:0	0.001	0.00365	99.9	0.289	93.7
152	0:0	0.001	0.00331	99.9	0.291	93.6
153	0:0	0.001	0.00322	1e+02	0.288	93.6
154	0:0	0.001	0.00284	1e+02	0.288	93.6
155	0:0	0.001	0.00296	1e+02	0.292	93.7
156	0:0	0.001	0.00265	1e+02	0.288	93.6
157	0:0	0.001	0.00267	1e+02	0.289	93.6
158	0:0	0.001	0.00289	1e+02	0.286	93.7
159	0:0	0.001	0.00288	1e+02	0.287	93.6
160	0:0	0.001	0.00287	1e+02	0.287	93.7
161	0:0	0.001	0.00293	1e+02	0.289	93.6
162	0:0	0.001	0.00271	1e+02	0.286	93.7
163	0:0	0.001	0.00266	1e+02	0.29	93.6
164	0:0	0.001	0.00281	1e+02	0.287	93.6
165	0:0	0.001	0.00267	1e+02	0.289	93.6
166	0:0	0.001	0.00242	1e+02	0.287	93.6
167	0:0	0.001	0.00251	1e+02	0.288	93.7
168	0:0	0.001	0.00249	1e+02	0.288	93.6
